Sl No,R2_score,RMSE,Models,Type,R2_score,RMSE,Models,Type,R2_score,RMSE,Models,Type,R2_score,RMSE,Models,Type
176,0.760283214,0.562171005,XgB,Testing,0.739198856,0.467480369,XgB,Testing,0.978676781,0.290539206,XgB,Testing,0.998538795,0.017787546,XgB,Testing
177,0.706043167,0.584102506,XgB,Testing,0.754094311,0.468446567,XgB,Testing,0.976144195,0.313562258,XgB,Testing,0.996533015,0.027988385,XgB,Testing
178,0.823373174,0.39217001,XgB,Testing,0.694050274,0.55380182,XgB,Testing,0.981760881,0.274515299,XgB,Testing,0.996773184,0.026446653,XgB,Testing
179,0.828348335,0.359196083,XgB,Testing,0.720369074,0.589972208,XgB,Testing,0.984625423,0.239857633,XgB,Testing,0.997657981,0.022669534,XgB,Testing
180,0.80598328,0.416248547,XgB,Testing,0.724926243,0.47304715,XgB,Testing,0.980495139,0.281935211,XgB,Testing,0.998218023,0.019541269,XgB,Testing
181,0.935301906,0.274431255,GB,Training,0.862492845,0.346283817,GB,Training,0.983131511,0.26099806,GB,Training,0.998027848,0.020242866,GB,Training
182,0.909264599,0.330093738,GB,Training,0.878186135,0.323927663,GB,Training,0.982693663,0.2627934,GB,Training,0.998017788,0.020034838,GB,Training
183,0.924913126,0.302197667,GB,Training,0.861089556,0.370573114,GB,Training,0.983195084,0.259694591,GB,Training,0.998258354,0.019429839,GB,Training
184,0.917243342,0.306087804,GB,Training,0.855147007,0.36740764,GB,Training,0.983370716,0.258012262,GB,Training,0.99823128,0.01916571,GB,Training
185,0.922414745,0.296912018,GB,Training,0.859251016,0.363151047,GB,Training,0.983045629,0.259922065,GB,Training,0.998170056,0.019461728,GB,Training
186,0.916514722,0.304598344,GB,Training,0.86319053,0.350676708,GB,Training,0.982778259,0.263208414,GB,Training,0.998189637,0.019286534,GB,Training
187,0.923989252,0.280757425,GB,Training,0.853311506,0.356790763,GB,Training,0.983605903,0.256967992,GB,Training,0.998159783,0.019702253,GB,Training
188,0.923905626,0.292543015,GB,Training,0.859493337,0.370922411,GB,Training,0.984000772,0.253157921,GB,Training,0.998354801,0.018607851,GB,Training
189,0.92191824,0.300571966,GB,Training,0.860776121,0.372113212,GB,Training,0.982843671,0.262843942,GB,Training,0.998041255,0.020460049,GB,Training
190,0.929196192,0.278333204,GB,Training,0.843687999,0.383563629,GB,Training,0.982620081,0.265427002,GB,Training,0.998114357,0.01997658,GB,Training
191,0.924299625,0.285143911,GB,Training,0.855435605,0.368080285,GB,Training,0.983081078,0.260793626,GB,Training,0.998326616,0.018820458,GB,Training
192,0.916748192,0.308391409,GB,Training,0.842939581,0.394254606,GB,Training,0.984162999,0.251809596,GB,Training,0.99841558,0.018329422,GB,Training
193,0.92686539,0.284094698,GB,Training,0.846348763,0.389496253,GB,Training,0.983816739,0.257977492,GB,Training,0.99829316,0.019245015,GB,Training
194,0.930277911,0.2694112,GB,Training,0.857336324,0.351596645,GB,Training,0.98333801,0.257913243,GB,Training,0.998332749,0.018697481,GB,Training
195,0.920236964,0.306199756,GB,Training,0.853566198,0.355681653,GB,Training,0.982790298,0.261044576,GB,Training,0.998386581,0.018413577,GB,Training
196,0.906435811,0.305659194,GB,Training,0.858017104,0.374900669,GB,Training,0.983198986,0.259118556,GB,Training,0.99816311,0.01980077,GB,Training
197,0.925653854,0.273201675,GB,Training,0.862854366,0.369595801,GB,Training,0.983773392,0.256421825,GB,Training,0.998072943,0.020082427,GB,Training
198,0.911475169,0.306775446,GB,Training,0.849880695,0.374058898,GB,Training,0.983226017,0.260391656,GB,Training,0.998154289,0.019852185,GB,Training
199,0.928360376,0.280845893,GB,Training,0.85915568,0.367072179,GB,Training,0.982306797,0.26621154,GB,Training,0.998120313,0.020073761,GB,Training
200,0.916334738,0.300867157,GB,Training,0.858815421,0.351442533,GB,Training,0.982715836,0.260996243,GB,Training,0.998012834,0.02014651,GB,Training
201,0.916995893,0.311305137,GB,Training,0.848323551,0.389258352,GB,Training,0.982626682,0.261023553,GB,Training,0.998097545,0.020315981,GB,Training
202,0.920426609,0.288119816,GB,Training,0.861153971,0.36375175,GB,Training,0.983105345,0.259626194,GB,Training,0.998124086,0.019997648,GB,Training
203,0.922566171,0.288405332,GB,Training,0.854914043,0.368233762,GB,Training,0.984286875,0.251962096,GB,Training,0.998231674,0.019545087,GB,Training
204,0.922277202,0.297102822,GB,Training,0.858911244,0.36881929,GB,Training,0.984486621,0.250522847,GB,Training,0.998171676,0.019374833,GB,Training
205,0.922534998,0.298395827,GB,Training,0.853224453,0.374326211,GB,Training,0.984052989,0.253767174,GB,Training,0.998401434,0.018373742,GB,Training
206,0.917563935,0.289034194,GB,Training,0.857366228,0.371847932,GB,Training,0.984081415,0.252843418,GB,Training,0.998156212,0.019606319,GB,Training
207,0.937557869,0.257890306,GB,Training,0.856481037,0.369500116,GB,Training,0.984264794,0.249678381,GB,Training,0.998068578,0.019899515,GB,Training
208,0.919596861,0.305697717,GB,Training,0.858919352,0.35909666,GB,Training,0.984687859,0.24617998,GB,Training,0.998254725,0.019070837,GB,Training
209,0.931305684,0.287382526,GB,Training,0.851570648,0.351119056,GB,Training,0.983735971,0.257760677,GB,Training,0.998052714,0.020098974,GB,Training
210,0.926894733,0.2905208,GB,Training,0.856864109,0.374065727,GB,Training,0.983849457,0.25326793,GB,Training,0.998199198,0.019410878,GB,Training
211,0.654758308,0.545535718,GB,Testing,0.658568991,0.619606634,GB,Testing,0.973250035,0.322643671,GB,Testing,0.997119613,0.025095992,GB,Testing
212,0.810629784,0.378468344,GB,Testing,0.610125246,0.671457547,GB,Testing,0.978887908,0.291725506,GB,Testing,0.99722134,0.025422492,GB,Testing
213,0.754892186,0.413739137,GB,Testing,0.702246051,0.482070407,GB,Testing,0.976987105,0.301808544,GB,Testing,0.997210056,0.023120103,GB,Testing
214,0.806100724,0.432064042,GB,Testing,0.691918587,0.541103941,GB,Testing,0.973634308,0.324631817,GB,Testing,0.996097837,0.029230363,GB,Testing
215,0.650546555,0.576256375,GB,Testing,0.724351326,0.507769146,GB,Testing,0.976606593,0.307860792,GB,Testing,0.996716045,0.026934893,GB,Testing
216,0.788200347,0.465961712,GB,Testing,0.661773031,0.595826763,GB,Testing,0.978051099,0.293936308,GB,Testing,0.995754924,0.030925526,GB,Testing
217,0.68713618,0.62488173,GB,Testing,0.632886381,0.6477246,GB,Testing,0.975063382,0.312766112,GB,Testing,0.997386851,0.023379292,GB,Testing
218,0.650308786,0.586900672,GB,Testing,0.687546052,0.502650803,GB,Testing,0.977378365,0.300199354,GB,Testing,0.996070237,0.02876859,GB,Testing
219,0.73419079,0.485156567,GB,Testing,0.701994837,0.476585781,GB,Testing,0.977883935,0.294505122,GB,Testing,0.996524741,0.026414054,GB,Testing
220,0.664818428,0.600703977,GB,Testing,0.685722395,0.538473775,GB,Testing,0.975115779,0.308956558,GB,Testing,0.99754861,0.022530107,GB,Testing
221,0.723361572,0.560819548,GB,Testing,0.706435497,0.523047276,GB,Testing,0.980768468,0.275492596,GB,Testing,0.995500428,0.030516629,GB,Testing
222,0.706985034,0.522573979,GB,Testing,0.742480267,0.447357184,GB,Testing,0.977083809,0.302568901,GB,Testing,0.995238716,0.031305023,GB,Testing
223,0.755021505,0.506454879,GB,Testing,0.720529027,0.467977193,GB,Testing,0.974042052,0.307865518,GB,Testing,0.99605222,0.027417153,GB,Testing
224,0.728914678,0.578351997,GB,Testing,0.674887805,0.610223712,GB,Testing,0.97585598,0.311270414,GB,Testing,0.995721648,0.030182982,GB,Testing
225,0.785781112,0.421868946,GB,Testing,0.710621834,0.577158408,GB,Testing,0.972520248,0.336793707,GB,Testing,0.995549978,0.030682107,GB,Testing
226,0.73521277,0.6005299,GB,Testing,0.70201928,0.48070429,GB,Testing,0.974569343,0.31959916,GB,Testing,0.996131952,0.027929074,GB,Testing
227,0.66269885,0.674020699,GB,Testing,0.671620984,0.498814809,GB,Testing,0.968493145,0.348257002,GB,Testing,0.997094202,0.02493688,GB,Testing
228,0.738123514,0.553487653,GB,Testing,0.724916428,0.511134384,GB,Testing,0.975274043,0.30973615,GB,Testing,0.997137653,0.023999164,GB,Testing
229,0.785648213,0.475777533,GB,Testing,0.668679224,0.538786267,GB,Testing,0.9765151,0.306135998,GB,Testing,0.996017391,0.028121681,GB,Testing
230,0.740014771,0.538002935,GB,Testing,0.661838836,0.615013862,GB,Testing,0.977114834,0.309254014,GB,Testing,0.99749666,0.02392049,GB,Testing
231,0.805155435,0.407676355,GB,Testing,0.745642692,0.434887868,GB,Testing,0.982235469,0.274031238,GB,Testing,0.996460879,0.025967851,GB,Testing
232,0.758895384,0.544455196,GB,Testing,0.709791598,0.507164489,GB,Testing,0.975304908,0.315758995,GB,Testing,0.99577773,0.029228759,GB,Testing
233,0.756031418,0.526580793,GB,Testing,0.709987431,0.522782912,GB,Testing,0.97342002,0.321366579,GB,Testing,0.99595394,0.02798081,GB,Testing
234,0.770156102,0.467781167,GB,Testing,0.595867075,0.587391666,GB,Testing,0.970710468,0.336205263,GB,Testing,0.997085299,0.025646425,GB,Testing
